Life,Insecta
Insecta,Nicrophorus tomentosus
Insecta,Halyomorpha halys
Life,Plantae
Plantae,Betula lenta
Life,Fungi
Fungi,Hericium erinaceus
Life,Animalia
Animalia,Harpaphe haydeniana
Insecta,Euptoieta hegesia
Fungi,Hericium coralloides
Plantae,Frangula caroliniana
Plantae,Amorpha fruticosa
Life,Amphibia
Amphibia,Hyla eximia
Insecta,Nannothemis bella
Plantae,Penstemon digitalis
Plantae,Cornus canadensis
Plantae,Metrosideros excelsa
Plantae,Chamerion angustifolium
Plantae,Asplenium bulbiferum
Life,Reptilia
Reptilia,Ramphotyphlops braminus
Plantae,Hydrocotyle bonariensis
Plantae,Castanea dentata
Plantae,Lilium columbianum
Life,Aves
Aves,Cyanocitta cristata
Reptilia,Drymarchon melanurus
Insecta,Aenetus virescens
Plantae,Callicarpa americana
Aves,Cyanocitta stelleri
Aves,Aramus guarauna
Plantae,Eichhornia crassipes
Plantae,Calochortus tiburonensis
Animalia,Megalorchestia californiana
Plantae,Fagus grandifolia
Aves,Balearica regulorum
Life,Actinopterygii
Actinopterygii,Fistularia commersonii
Plantae,Erysimum franciscanum
Insecta,Syritta pipiens
Reptilia,Plestiodon fasciatus
Plantae,Schinus molle
Reptilia,Plestiodon inexpectatus
Aves,Pyrocephalus rubinus
Reptilia,Plestiodon laticeps
Actinopterygii,Anguilla rostrata
Reptilia,Plestiodon obsoletus
Actinopterygii,Scarus rubroviolaceus
Plantae,Mertensia ciliata
Reptilia,Plestiodon tetragrammus
Insecta,Syntomoides imaon
Plantae,Rumex acetosella
Plantae,Rubus allegheniensis
Plantae,Eupatorium capillifolium
Life,Mollusca
Mollusca,Arion ater
Plantae,Cynosurus echinatus
Plantae,Stenocereus thurberi
Reptilia,Chamaeleo dilepis
Plantae,Hymenopappus scabiosaeus
Plantae,Helianthus tuberosus
Plantae,Sabatia angularis
Insecta,Phoebis agarithe
Plantae,Pseudopanax crassifolius
Insecta,Taeniopoda eques
Insecta,Libellula quadrimaculata
Plantae,Berberis thunbergii
Actinopterygii,Haemulon sciurus
Insecta,Cordulegaster diastatops
Insecta,Ladona julia
Aves,Ardeotis kori
Plantae,Geum triflorum
Actinopterygii,Diodon holocanthus
Insecta,Papilio canadensis
Insecta,Monochamus scutellatus
Life,Mammalia
Mammalia,Ceratotherium simum simum
Insecta,Cordulia shurtleffii
Aves,Pica nuttalli
Plantae,Eutrochium maculatum
Insecta,Pantala flavescens
Life,Arachnida
Arachnida,Platycryptus undatus
Plantae,Mimulus guttatus
Plantae,Podophyllum peltatum
Plantae,Calystegia sepium
Insecta,Zelus longipes
Plantae,Cypripedium parviflorum pubescens
Plantae,Cardamine californica
Aves,Antigone canadensis
Animalia,Aetobatus narinari
Plantae,Uniola paniculata
Reptilia,Carphophis amoenus
Insecta,Phyciodes pulchella
Aves,Ardea herodias occidentalis
Reptilia,Pantherophis emoryi
Insecta,Nehalennia irene
Plantae,Tinantia anomala
Reptilia,Pantherophis guttatus
Reptilia,Pantherophis obsoletus
Insecta,Phyciodes tharos
Aves,Porzana carolina
Insecta,Siproeta stelenes biplagiata
Plantae,Mesembryanthemum crystallinum
Plantae,Viscum album
Plantae,Panax trifolius
Plantae,Carpobrotus edulis
Insecta,Bombus terrestris
Plantae,Fouquieria splendens
Plantae,Atrichoseris platyphylla
Plantae,Persicaria perfoliata
Aves,Contopus virens
Plantae,Encelia farinosa
Plantae,Dianthus armeria
Plantae,Ibervillea lindheimeri
Plantae,Castilleja coccinea
Plantae,Earina autumnalis
Plantae,Castilleja purpurea
Plantae,Phacelia crenulata
Aves,Anas platyrhynchos diazi
Insecta,Hyles lineata
Arachnida,Dolomedes tenebrosus
Plantae,Cylindropuntia bigelovii
Arachnida,Araneus marmoreus
Plantae,Cylindropuntia echinocarpa
Plantae,Silene virginica
Insecta,Epilachna mexicana
Mammalia,Desmodus rotundus
Aves,Bartramia longicauda
Mammalia,Papio ursinus
Aves,Empidonax difficilis
Fungi,Stropharia ambigua
Aves,Empidonax minimus
Plantae,Cynara cardunculus
Aves,Empidonax fulvifrons
Plantae,Commelina communis
Aves,Oenanthe oenanthe
Insecta,Hemileuca eglanterina
Aves,Empidonax traillii
Plantae,Cuscuta californica
Insecta,Ceratomia undulosa
Insecta,Prenolepis imparis
Insecta,Bittacomorpha clavipes
Insecta,Xanthorhoe lacustrata
Plantae,Leucophyllum frutescens
Aves,Empidonax hammondii
Aves,Empidonax occidentalis
Aves,Rallus limicola
Plantae,Pinus echinata
Plantae,Kalmia latifolia
Insecta,Bombylius major
Aves,Grus grus
Mollusca,Rabdotus dealbatus
Actinopterygii,Abudefduf saxatilis
Insecta,Malacosoma americanum
Insecta,Zopherus nodulosus haldemani
Insecta,Hermetia illucens
Plantae,Sanicula crassicaulis
Insecta,Lestes congener
Aves,Quiscalus major
Reptilia,Thamnophis radix
Insecta,Corydalus cornutus
Aves,Merops apiaster
Mammalia,Equus caballus
Fungi,Xylaria hypoxylon
Plantae,Stachys bullata
Aves,Struthio camelus
Aves,Cyanocorax yucatanicus
Reptilia,Zamenis longissimus
Aves,Cyanocorax yncas
Insecta,Nadata gibbosa
Plantae,Dactylorhiza fuchsii
Plantae,Blechnum penna-marina
Amphibia,Ensatina eschscholtzii xanthoptica
Insecta,Heterocampa biundata
Plantae,Corallorhiza mertensiana
Fungi,Evernia prunastri
Plantae,Stellaria media
Insecta,Lithacodia musta
Insecta,Lophocampa caryae
Plantae,Aplectrum hyemale
Aves,Quiscalus niger
Amphibia,Incilius nebulifer
Mollusca,Kelletia kelletii
Plantae,Atriplex canescens
Insecta,Pyrausta insequalis
Mammalia,Alces americanus
Insecta,Cotinis mutabilis
Plantae,Corallorhiza maculata
Amphibia,Incilius valliceps
Plantae,Monotropa uniflora
Plantae,Viburnum dentatum
Plantae,Stenosiphon linifolius
Aves,Psilorhinus morio
Plantae,Hieracium albiflorum
Reptilia,Lacerta bilineata
Actinopterygii,Thalassoma bifasciatum
Mammalia,Tadarida brasiliensis
Insecta,Xylocopa varipuncta
Aves,Microcarbo melanoleucos brevirostris
Insecta,Bombus sonorus
Fungi,Calvatia gigantea
Reptilia,Basiliscus vittatus
Insecta,Phlogophora meticulosa
Plantae,Zea mays
Aves,Megarynchus pitangua
Plantae,Echinocereus triglochidiatus
Aves,Gallinula tenebrosa
Actinopterygii,Ameiurus melas
Insecta,Automeris io
Fungi,Auricularia cornea
Animalia,Patiria miniata
Reptilia,Crotaphytus collaris
Mammalia,Lavia frons
Actinopterygii,Esox lucius
Amphibia,Anaxyrus boreas halophilus
Reptilia,Opheodrys aestivus
Plantae,Sarracenia flava
Aves,Numida meleagris
Plantae,Echium candicans
Plantae,Calypso bulbosa occidentalis
Insecta,Thasus neocalifornicus
Plantae,Rosa palustris
Plantae,Osmunda regalis
Plantae,Iris missouriensis
Animalia,Pisaster brevispinus
Mollusca,Belocaulus angustipes
Plantae,Drosera arcturi
Plantae,Carex lupulina
Aves,Tyrannus vociferans
Plantae,Chelone glabra
Plantae,Hibiscus moscheutos
Insecta,Satyrium californica
Aves,Dendrocygna autumnalis
Aves,Tyrannus crassirostris
Animalia,Linckia laevigata
Insecta,Ecliptopera silaceata
Insecta,Dyspteris abortivaria
Plantae,Clitoria mariana
Aves,Tyrannus verticalis
Insecta,Agrotis ipsilon
Aves,Tyrannus savana
Plantae,Lupinus texensis
Insecta,Caripeta divisata
Insecta,Cicindela sexguttata
Mollusca,Thylacodes squamigerus
Insecta,Cerma cerintha
Plantae,Tillandsia usneoides
Plantae,Silene dioica
Plantae,Lonicera maackii
Insecta,Sunira bicolorago
Mammalia,Trichechus manatus latirostris
Fungi,Ramalina menziesii
Insecta,Calosoma scrutator
Insecta,Sphecius speciosus
Insecta,Idaea dimidiata
Insecta,Iridopsis larvaria
Plantae,Asplenium flaccidum
Insecta,Leuconycta diphteroides
Aves,Gallirallus australis
Insecta,Metanema inatomaria
Actinopterygii,Lepomis macrochirus
Plantae,Rubus cissoides
Insecta,Raphia frater
Actinopterygii,Pomoxis nigromaculatus
Amphibia,Lithobates catesbeianus
Actinopterygii,Salvelinus fontinalis
Reptilia,Thamnophis proximus rubrilineatus
Amphibia,Lithobates clamitans
Plantae,Coprosma foetidissima
Plantae,Coprosma lucida
Plantae,Gilia capitata
Plantae,Astelia fragrans
Aves,Columba livia domestica
Plantae,Melicytus ramiflorus
Aves,Calocitta formosa
Aves,Calocitta colliei
Insecta,Hemaris thysbe
Plantae,Oxalis articulata
Actinopterygii,Lepomis gibbosus
Plantae,Olearia paniculata
Amphibia,Lithobates pipiens
Insecta,Vanessa kershawi
Aves,Fulica americana
Arachnida,Rabidosa rabida
Insecta,Panoquina ocola
Amphibia,Lithobates sylvaticus
Aves,Vireo huttoni
Plantae,Prunus persica
Aves,Pachyramphus aglaiae
Mammalia,Phocoena phocoena
Insecta,Ceratomia catalpae
Plantae,Sambucus racemosa racemosa
Plantae,Desmanthus illinoensis
Plantae,Melothria pendula
Plantae,Huperzia lucidula
Aves,Alisterus scapularis
Plantae,Pedicularis densiflora
Reptilia,Dermochelys coriacea
Insecta,Hyphantria cunea
Plantae,Toxicoscordion fremontii
Insecta,Cicindela punctulata
Life,Chromista
Chromista,Durvillaea antarctica
Amphibia,Gastrophryne carolinensis
Plantae,Potentilla recta
Insecta,Cicindela repanda
Plantae,Nuphar lutea
Insecta,Stylurus plagiatus
Plantae,Fumaria capreolata
Plantae,Platanus occidentalis
Plantae,Brachyglottis repanda
Plantae,Taxodium mucronatum
Plantae,Veronica anagallis-aquatica
Plantae,Apocynum cannabinum
Plantae,Phoradendron leucarpum
Plantae,Cardamine bulbosa
Mammalia,Eschrichtius robustus
Insecta,Chrysodeixis includens
Mammalia,Tursiops truncatus
Insecta,Murgantia histrionica
Reptilia,Chelydra serpentina
Reptilia,Varanus niloticus
Plantae,Opuntia basilaris
Plantae,Mimulus bigelovii
Plantae,Marah fabacea
Aves,Cygnus buccinator
Plantae,Bouvardia ternifolia
Arachnida,Aphonopelma iodius
Plantae,Gymnadenia conopsea
Plantae,Youngia japonica
Plantae,Juniperus californica
Animalia,Pisaster ochraceus
Reptilia,Coluber lateralis lateralis
Plantae,Melampodium leucanthum
Plantae,Salvia farinacea
Plantae,Salsola tragus
Plantae,Cardamine impatiens
Plantae,Plumeria rubra
Reptilia,Elgaria coerulea
Plantae,Equisetum telmateia
Mammalia,Orcinus orca
Plantae,Clematis pitcheri
