Life,Animalia
Animalia,Annelida
Annelida,Clitellata
Clitellata,Haplotaxida
Haplotaxida,Lumbricidae
Annelida,Polychaeta
Polychaeta,Sabellida
Sabellida,Sabellidae
Sabellida,Serpulidae
Animalia,Arthropoda
Arthropoda,Arachnida
Arachnida,Araneae
Araneae,Agelenidae
Araneae,Antrodiaetidae
Araneae,Araneidae
Araneae,Cheiracanthiidae
Araneae,Corinnidae
Araneae,Desidae
Araneae,Dysderidae
Araneae,Filistatidae
Araneae,Gnaphosidae
Araneae,Linyphiidae
Araneae,Lycosidae
Araneae,Oxyopidae
Araneae,Pholcidae
Araneae,Pisauridae
Araneae,Salticidae
Araneae,Sicariidae
Araneae,Sparassidae
Araneae,Tetragnathidae
Araneae,Theraphosidae
Araneae,Theridiidae
Araneae,Thomisidae
Araneae,Zoropsidae
Arachnida,Endeostigmata
Endeostigmata,Eriophyidae
Arachnida,Ixodida
Ixodida,Ixodidae
Arachnida,Opiliones
Opiliones,Phalangiidae
Opiliones,Sclerosomatidae
Arachnida,Scorpiones
Scorpiones,Buthidae
Scorpiones,Caraboctonidae
Scorpiones,Vaejovidae
Arthropoda,Chilopoda
Chilopoda,Scolopendromorpha
Scolopendromorpha,Scolopendridae
Chilopoda,Scutigeromorpha
Scutigeromorpha,Scutigeridae
Arthropoda,Diplopoda
Diplopoda,Julida
Julida,Julidae
Diplopoda,Polydesmida
Polydesmida,Paradoxosomatidae
Polydesmida,Xystodesmidae
Diplopoda,Spirobolida
Spirobolida,Rhinocricidae
Spirobolida,Trigoniulidae
Arthropoda,Hexanauplia
Hexanauplia,Lepadiformes
Lepadiformes,Lepadidae
Hexanauplia,Scalpelliformes
Scalpelliformes,Pollicipedidae
Hexanauplia,Sessilia
Sessilia,Balanidae
Sessilia,Tetraclitidae
Arthropoda,Insecta
Insecta,Blattodea
Blattodea,Blaberidae
Blattodea,Blattidae
Blattodea,Ectobiidae
Insecta,Coleoptera
Coleoptera,Brentidae
Coleoptera,Buprestidae
Coleoptera,Cantharidae
Coleoptera,Carabidae
Coleoptera,Cerambycidae
Coleoptera,Chrysomelidae
Coleoptera,Cleridae
Coleoptera,Coccinellidae
Coleoptera,Curculionidae
Coleoptera,Dermestidae
Coleoptera,Elateridae
Coleoptera,Erotylidae
Coleoptera,Geotrupidae
Coleoptera,Lampyridae
Coleoptera,Lucanidae
