Life,Animalia
Animalia,Annelida
Annelida,Clitellata
Clitellata,Haplotaxida
Haplotaxida,Lumbricidae
Lumbricidae,Lumbricus
Lumbricus,Lumbricus terrestris
Annelida,Polychaeta
Polychaeta,Sabellida
Sabellida,Sabellidae
Sabellidae,Sabella
Sabella,Sabella spallanzanii
Sabellida,Serpulidae
Serpulidae,Serpula
Serpula,Serpula columbiana
Serpulidae,Spirobranchus
Spirobranchus,Spirobranchus cariniferus
Animalia,Arthropoda
Arthropoda,Arachnida
Arachnida,Ixodida
Ixodida,Ixodidae
Ixodidae,Amblyomma
Amblyomma,Amblyomma americanum
Ixodidae,Dermacentor
Dermacentor,Dermacentor occidentalis
Dermacentor,Dermacentor variabilis
Ixodidae,Ixodes
Ixodes,Ixodes pacificus
Ixodes,Ixodes ricinus
Ixodes,Ixodes scapularis
Arachnida,Opiliones
Opiliones,Phalangiidae
Phalangiidae,Mitopus
Mitopus,Mitopus morio
Phalangiidae,Opilio
Opilio,Opilio canestrinii
Phalangiidae,Phalangium
Phalangium,Phalangium opilio
Opiliones,Sclerosomatidae
Sclerosomatidae,Leiobunum
Leiobunum,Leiobunum rotundum
Leiobunum,Leiobunum townsendi
Leiobunum,Leiobunum vittatum
Arachnida,Scorpiones
Scorpiones,Buthidae
Buthidae,Centruroides
Centruroides,Centruroides sculpturatus
Centruroides,Centruroides vittatus
Scorpiones,Caraboctonidae
Caraboctonidae,Hadrurus
Hadrurus,Hadrurus arizonensis
Scorpiones,Vaejovidae
Vaejovidae,Paravaejovis
Paravaejovis,Paravaejovis puritanus
Paravaejovis,Paravaejovis spinigerus
Vaejovidae,Paruroctonus
Paruroctonus,Paruroctonus silvestrii
Vaejovidae,Uroctonus
Uroctonus,Uroctonus mordax
Vaejovidae,Vaejovis
Vaejovis,Vaejovis carolinianus
Arthropoda,Chilopoda
Chilopoda,Scutigeromorpha
Scutigeromorpha,Scutigeridae
Scutigeridae,Scutigera
Scutigera,Scutigera coleoptrata
Arthropoda,Diplopoda
Diplopoda,Polydesmida
Polydesmida,Paradoxosomatidae
Paradoxosomatidae,Oxidus
Oxidus,Oxidus gracilis
Polydesmida,Xystodesmidae
Xystodesmidae,Apheloria
Apheloria,Apheloria virginiensis
Xystodesmidae,Harpaphe
Harpaphe,Harpaphe haydeniana
Arthropoda,Hexanauplia
Hexanauplia,Lepadiformes
